dataset_id,pid
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r2i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/44779d51-e452-3a73-ac49-c34dad15fd1d
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r2i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/236ac447-bd7d-31db-88d6-4906153f9151
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r2i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/b806e770-5449-31ec-9175-a8f26c67ed97
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r2i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/10300956-dec7-3f14-9f7f-07bbbab01e08
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r2i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/ae8c9ec5-3da3-383b-901a-6cae719085c5
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1975-r8i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/556dd640-7b4a-306c-8e8b-ff326d071c3d
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1975-r8i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/836c6bc7-b9be-3414-89ec-bd83b3c34cfa
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1975-r8i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/22d1de8d-7bd6-31a8-bdb1-59b9d613438f
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1975-r8i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/44a9f7f2-f8f5-34e3-94bc-edfa7e26a6a1
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1975-r8i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/8ae1451a-88a3-3e9d-865d-4383ff95a9e4
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1995-r4i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/8e831511-6473-3b4c-b0d0-1a91945a1f23
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1995-r4i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/3ce2d5a6-8a54-3c4c-a959-60cc58ba95c9
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1995-r4i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/818665b0-bc43-35c1-9475-a9739c4b11eb
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1995-r4i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/c201100c-5544-33fc-93fc-d527793e2118
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1995-r4i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/cdaa9cb7-33dc-3127-a8bc-9173bb94ccac
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r6i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/bbf9f9e8-796f-317d-be8f-f4edeb058b36
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r6i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/e4055b7d-a952-337e-b691-e153603e2c69
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r6i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/93d65a47-1d76-34d5-abd8-37ccb01d1477
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r6i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/f1eb90e0-e795-31aa-9c8c-284f43f6bd84
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r6i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/66eb6467-83ed-329b-bec9-2bd103a6b465
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2005-r13i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/10cd6016-10be-3ca6-ac23-0fae54345112
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2005-r13i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/23350de7-4139-35ff-9f4b-941b413ae9ac
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2005-r13i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/4e4a4bce-6ccb-334b-a394-8bdcca80f3b4
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2005-r13i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/4f0171de-7651-3b5e-81b8-d7576b9e78e2
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2005-r13i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/74601dfa-0a50-3ec3-a72f-519162a40794
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1980-r12i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/cb060d38-4d44-3829-a286-6c1a6f49900f
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1980-r12i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/3a811860-2f33-3b5d-b0b8-e24fc15ee3ac
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1980-r12i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/d49fc82e-9eb8-38bd-8afc-a5eb7a03e315
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1980-r12i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/d821ba40-ac9e-36cf-b217-6b1dc00eac28
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1980-r12i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/e896a38d-6a84-38d4-b995-903b27e6bda4
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2003-r8i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/9cda50ca-be7e-3c22-af1d-b78e983ad504
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2003-r8i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/c1a6cc15-e55c-3913-8264-6ee444bfc055
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2003-r8i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/53460556-f65b-3b5a-bfbc-bd38df658857
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2003-r8i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/4819775b-b4be-364c-9258-60289e1ee176
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2003-r8i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/72c42c0b-58e1-3406-966a-fe22aac6df4b
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1991-r1i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/5ffeb7a1-730b-3e33-947d-0e17017db559
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1991-r1i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/30c611b0-6331-30b9-9c18-afd98d50ceb4
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1991-r1i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/eaf31654-a844-34a0-b67f-033d3b03839c
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1991-r1i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/cf04a2f9-953b-3dad-9213-a91c13aa5006
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1991-r1i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/cd85b0bb-27d5-3986-8ac7-c6c489b12b2d
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2010-r8i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/6d3e9a8e-14ab-3273-a979-21adbf396c99
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2010-r8i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/2fc56907-243e-3201-9890-b4df160ea65f
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2010-r8i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/d4408398-003e-32a7-9ceb-682a40b87852
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2010-r8i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/db398768-fc34-3264-b87f-0dcbaa62e94f
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2010-r8i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/7adf965f-21f1-3830-988f-556f1377ebc9
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r6i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/517fdb32-a266-3e92-abcf-d8a35e03f7a6
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r6i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/e4bf928a-eb15-37b6-877d-7b4a2bdb757d
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r6i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/33a38055-bfce-33e5-a317-5980e036e844
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r6i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/918b3ad5-3392-3cbb-99e3-f2d0f20b6565
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2008-r6i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/e9324e4f-5be6-38ef-9bd3-6bc748ddd683
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2021-r3i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/99b1677c-3b2f-35dd-98c4-38edf6cfe9e9
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2021-r3i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/87656037-c315-3591-9c5b-7b0ae6110916
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2021-r3i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/72601532-2097-3ce2-a450-86739cda05b3
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2021-r3i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/622a50d8-0e5f-357d-aa13-99c8d78a23b3
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2021-r3i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/5bd04c3c-baea-37f3-bd79-106f49914474
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1982-r16i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/e236e23c-c0f9-311e-a6db-7e08d104be18
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1982-r16i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/b9e32db1-0d14-3f1b-879e-259389eb10c0
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1982-r16i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/2ebc859a-bdcd-3c95-bcbc-e56aa175badf
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1982-r16i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/865f6d0a-382e-39f7-b104-31b1df38ad37
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1982-r16i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/b31aecec-d34f-3c66-b7ef-c00110bec64a
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2006-r14i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/d0f882b2-fdbb-3c81-89f8-ac19b35371ba
